INSERT INTO Voter VALUES (1001,  'Nirav', 'Kavser', 132, 'Lamington Rd', 'Serchhip' , 'Mizoram', '1994-6-22', 'M' , 'nirav.kavser@example.com','8426998702', 68);
INSERT INTO Voter VALUES (1002,  'Krishna', 'Sullad', 174, 'Rajpath', 'Nagpur' , 'Maharashtra', '1954-12-14', 'M' , 'krishna.sullad@example.com','8111751429', 61);
INSERT INTO Voter VALUES (1003,  'Tanmay', 'Nayak', 130, 'Gali Paranthe Wali', 'Kakinada' , 'Andhra Pradesh', '1981-11-4', 'M' , 'tanmay.nayak@example.com','9521303259', 3);
INSERT INTO Voter VALUES (1004,  'Viti', 'Tipparti', 13, 'Linking Rd', 'Sivaganga' , 'Tamil Nadu', '1986-9-2', 'F' , 'viti.tipparti@example.com','7469256467', 89);
INSERT INTO Voter VALUES (1005,  'Saanvi', 'Chiplunkar', 51, 'Racecource Rd', 'Dadra and Nagar Haveli' , 'Dadra and Nagar Haveli', '1956-10-17', 'F' , 'saanvi.chiplunkar@example.com','8881941370', 115);
INSERT INTO Voter VALUES (1006,  'Kabir', 'Shenoy', 161, 'Rajpath', 'Medchal–Malkajgiri' , 'Telangana', '1960-9-12', 'M' , 'kabir.shenoy@example.com','7639435938', 92);
INSERT INTO Voter VALUES (1007,  'Tanmay', 'Keshri', 17, 'Rajpur Rd', 'Mahé' , 'Puducherry', '1956-5-13', 'M' , 'tanmay.keshri@example.com','7374182193', 128);
INSERT INTO Voter VALUES (1008,  'Pranav', 'Bangera', 136, 'Mall Rd', 'Puducherry' , 'Puducherry', '1968-6-8', 'M' , 'pranav.bangera@example.com','9277139304', 128);
INSERT INTO Voter VALUES (1009,  'Rushil', 'Shet', 200, 'Sao Tome Old Quarter', 'East Kameng' , 'Arunachal Pradesh', '1946-12-4', 'M' , 'rushil.shet@example.com','8508617368', 6);
INSERT INTO Voter VALUES (1010,  'Richa', 'Vernekar', 297, 'Dwaraka Nagar', 'Haveri' , 'Karnataka', '1998-3-4', 'F' , 'richa.vernekar@example.com','9513619236', 46);
INSERT INTO Voter VALUES (1011,  'Aishwarya', 'Singh', 231, 'Bannerghatta Rd', 'Diu' , 'Daman and Diu', '1971-5-14', 'F' , 'aishwarya.singh@example.com','9830923158', 116);
INSERT INTO Voter VALUES (1012,  'Taara', 'Bangera', 257, 'China Bazaar Rd', 'Hoshangabad' , 'Madhya Pradesh', '1948-9-7', 'F' , 'taara.bangera@example.com','7343370955', 54);
INSERT INTO Voter VALUES (1013,  'Dona', 'Gatty', 65, 'Mall Rd', 'Lakshadweep' , 'Lakshadweep', '1952-5-5', 'F' , 'dona.gatty@example.com','8284304100', 127);
INSERT INTO Voter VALUES (1014,  'Aryan', 'Mugeraya', 295, 'Carter Rd Promenade', 'Amritsar' , 'Punjab', '1955-4-24', 'M' , 'aryan.mugeraya@example.com','8719032035', 78);
INSERT INTO Voter VALUES (1015,  'Devansh', 'Pai', 156, 'Racecource Rd', 'Ramgarh' , 'Jharkhand', '1965-4-12', 'M' , 'devansh.pai@example.com','7127335105', 43);
INSERT INTO Voter VALUES (1016,  'Ranjani', 'Vernekar', 153, 'Pali Hill', 'Serchhip' , 'Mizoram', '1966-1-22', 'F' , 'ranjani.vernekar@example.com','9683201627', 68);
INSERT INTO Voter VALUES (1017,  'Meghashree', 'Singh', 214, 'Dadabhai Naoroji Rd', 'Mysuru' , 'Karnataka', '1956-6-25', 'F' , 'meghashree.singh@example.com','7348621341', 46);
INSERT INTO Voter VALUES (1018,  'Veer', 'Patil', 35, 'Naiduthota', 'Pathankot' , 'Punjab', '1946-9-26', 'M' , 'veer.patil@example.com','7297869425', 75);
INSERT INTO Voter VALUES (1019,  'Abhinav', 'Prajapati', 190, 'Janpath', 'Chamarajanagara' , 'Karnataka', '2000-4-11', 'M' , 'abhinav.prajapati@example.com','9051735627', 48);
INSERT INTO Voter VALUES (1020,  'Maanas', 'Uchil', 183, 'Dadabhai Naoroji Rd', 'Chamarajanagara' , 'Karnataka', '1972-12-25', 'M' , 'maanas.uchil@example.com','7565213714', 48);
INSERT INTO Voter VALUES (1021,  'Maanas', 'Namnaik', 39, 'Pali Hill', 'Ganderbal' , 'Jammu and Kashmir', '1948-6-29', 'M' , 'maanas.namnaik@example.com','9342956164', 122);
INSERT INTO Voter VALUES (1022,  'Anirudh', 'Rai', 55, 'Lamington Rd', 'Narsinghpur' , 'Madhya Pradesh', '1986-3-31', 'M' , 'anirudh.rai@example.com','7098855257', 54);
INSERT INTO Voter VALUES (1023,  'Yatin', 'Shroff', 59, 'Tank Bund Rd', 'Idukki' , 'Kerala', '1950-4-1', 'M' , 'yatin.shroff@example.com','8371977464', 51);
INSERT INTO Voter VALUES (1024,  'Shambhavi', 'Prabhu', 109, 'Colaba Causeway', 'Lower Siang' , 'Arunachal Pradesh', '1993-4-8', 'F' , 'shambhavi.prabhu@example.com','7717563062', 6);
INSERT INTO Voter VALUES (1025,  'Ishwar', 'Saldanha', 130, 'Carter Rd Promenade', 'Bengaluru Rural' , 'Karnataka', '1977-5-1', 'M' , 'ishwar.saldanha@example.com','9474482498', 48);
